location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Austria,08-01-2021,18-24,0.12,0
Austria,08-01-2021,25-49,0.39,0
Austria,08-01-2021,50-59,0.54,0
Austria,08-01-2021,60-69,0.33,0
Austria,08-01-2021,70-79,0.27,0
Austria,08-01-2021,80+,1.24,0
Austria,15-01-2021,18-24,0.44,0
Austria,15-01-2021,25-49,1.18,0
Austria,15-01-2021,50-59,1.81,0.01
Austria,15-01-2021,60-69,1.3,0
Austria,15-01-2021,70-79,1.29,0.01
Austria,15-01-2021,80+,6.06,0.02
Austria,22-01-2021,18-24,0.87,0.01
Austria,22-01-2021,25-49,2.17,0.04
Austria,22-01-2021,50-59,3.15,0.07
Austria,22-01-2021,60-69,2.12,0.06
Austria,22-01-2021,70-79,2.15,0.07
Austria,22-01-2021,80+,11.74,0.32
Austria,29-01-2021,18-24,1.04,0.1
Austria,29-01-2021,25-49,2.47,0.24
Austria,29-01-2021,50-59,3.54,0.37
Austria,29-01-2021,60-69,2.38,0.25
Austria,29-01-2021,70-79,2.36,0.23
Austria,29-01-2021,80+,14.11,1.04
Austria,05-02-2021,18-24,1.15,0.41
Austria,05-02-2021,25-49,2.68,1.07
Austria,05-02-2021,50-59,3.85,1.61
Austria,05-02-2021,60-69,2.57,1.14
Austria,05-02-2021,70-79,2.51,1.09
Austria,05-02-2021,80+,14.91,5.11
Austria,12-02-2021,18-24,1.52,0.8
Austria,12-02-2021,25-49,3.05,2.01
Austria,12-02-2021,50-59,4.31,2.91
Austria,12-02-2021,60-69,2.84,1.94
Austria,12-02-2021,70-79,2.73,1.87
Austria,12-02-2021,80+,15.84,10.31
Austria,19-02-2021,18-24,2.01,1
Austria,19-02-2021,25-49,3.71,2.36
Austria,19-02-2021,50-59,5.15,3.4
Austria,19-02-2021,60-69,3.34,2.25
Austria,19-02-2021,70-79,3.05,2.24
Austria,19-02-2021,80+,20.15,13.39
Austria,26-02-2021,18-24,2.96,1.13
Austria,26-02-2021,25-49,4.8,2.62
Austria,26-02-2021,50-59,6.45,3.77
Austria,26-02-2021,60-69,4.21,2.52
Austria,26-02-2021,70-79,3.54,2.42
Austria,26-02-2021,80+,27.78,14.07
Austria,05-03-2021,18-24,3.74,1.2
Austria,05-03-2021,25-49,5.88,2.76
Austria,05-03-2021,50-59,7.91,3.97
Austria,05-03-2021,60-69,5.33,2.67
Austria,05-03-2021,70-79,4.59,2.57
Austria,05-03-2021,80+,43.82,15
Austria,12-03-2021,18-24,5.13,1.25
Austria,12-03-2021,25-49,7.92,2.89
Austria,12-03-2021,50-59,10.42,4.17
Austria,12-03-2021,60-69,8.13,2.85
Austria,12-03-2021,70-79,8.16,2.85
Austria,12-03-2021,80+,57.44,19.17
Austria,19-03-2021,18-24,5.83,1.3
Austria,19-03-2021,25-49,9.27,3
Austria,19-03-2021,50-59,12.4,4.34
Austria,19-03-2021,60-69,11,3.1
Austria,19-03-2021,70-79,13.83,3.26
Austria,19-03-2021,80+,66.79,26.76
Austria,26-03-2021,18-24,6.48,1.37
Austria,26-03-2021,25-49,10.48,3.13
Austria,26-03-2021,50-59,14.23,4.64
Austria,26-03-2021,60-69,13.4,3.6
Austria,26-03-2021,70-79,19.02,4.04
Austria,26-03-2021,80+,71.83,42.25
Austria,02-04-2021,18-24,6.84,1.5
Austria,02-04-2021,25-49,11.05,3.3
Austria,02-04-2021,50-59,15.25,4.94
Austria,02-04-2021,60-69,15.04,4.23
Austria,02-04-2021,70-79,26.96,5.53
Austria,02-04-2021,80+,78.35,53.31
Austria,09-04-2021,18-24,7.17,2.22
Austria,09-04-2021,25-49,11.63,4.17
Austria,09-04-2021,50-59,16.36,6.11
Austria,09-04-2021,60-69,19.79,6.02
Austria,09-04-2021,70-79,40.48,9.07
Austria,09-04-2021,80+,84.11,62.64
Austria,16-04-2021,18-24,7.66,2.57
Austria,16-04-2021,25-49,12.73,4.67
Austria,16-04-2021,50-59,18.55,6.96
Austria,16-04-2021,60-69,27.74,7.64
Austria,16-04-2021,70-79,54.55,13.17
Austria,16-04-2021,80+,88.18,66.82
Austria,23-04-2021,18-24,8.54,2.72
Austria,23-04-2021,25-49,14.47,4.93
Austria,23-04-2021,50-59,22.31,7.36
Austria,23-04-2021,60-69,37.52,8.3
Austria,23-04-2021,70-79,63.8,15.53
Austria,23-04-2021,80+,90.14,71.11
Austria,30-04-2021,18-24,9.75,2.99
Austria,30-04-2021,25-49,16.37,5.25
Austria,30-04-2021,50-59,27.1,7.82
Austria,30-04-2021,60-69,49.01,9.37
