entity,iso_code,year,population,source
Afghanistan,AFG,2021,39835428,https://population.un.org/wpp/Download/Standard/CSV/
Africa,OWID_AFR,2021,1373486472,https://population.un.org/wpp/Download/Standard/CSV/
Albania,ALB,2021,2872934,https://population.un.org/wpp/Download/Standard/CSV/
Algeria,DZA,2021,44616626,https://population.un.org/wpp/Download/Standard/CSV/
American Samoa,ASM,2021,55103,https://population.un.org/wpp/Download/Standard/CSV/
Andorra,AND,2021,77354,https://population.un.org/wpp/Download/Standard/CSV/
Angola,AGO,2021,33933611,https://population.un.org/wpp/Download/Standard/CSV/
Anguilla,AIA,2021,15125,https://population.un.org/wpp/Download/Standard/CSV/
Antigua and Barbuda,ATG,2021,98728,https://population.un.org/wpp/Download/Standard/CSV/
Argentina,ARG,2021,45605823,https://population.un.org/wpp/Download/Standard/CSV/
Armenia,ARM,2021,2968128,https://population.un.org/wpp/Download/Standard/CSV/
Aruba,ABW,2021,107195,https://population.un.org/wpp/Download/Standard/CSV/
Asia,OWID_ASI,2021,4678444992,https://population.un.org/wpp/Download/Standard/CSV/
Australia,AUS,2021,25788217,https://population.un.org/wpp/Download/Standard/CSV/
Austria,AUT,2021,9043072,https://population.un.org/wpp/Download/Standard/CSV/
Azerbaijan,AZE,2021,10223344,https://population.un.org/wpp/Download/Standard/CSV/
Bahamas,BHS,2021,396914,https://population.un.org/wpp/Download/Standard/CSV/
Bahrain,BHR,2021,1748295,https://population.un.org/wpp/Download/Standard/CSV/
Bangladesh,BGD,2021,166303494,https://population.un.org/wpp/Download/Standard/CSV/
Barbados,BRB,2021,287708,https://population.un.org/wpp/Download/Standard/CSV/
Belarus,BLR,2021,9442867,https://population.un.org/wpp/Download/Standard/CSV/
Belgium,BEL,2021,11632334,https://population.un.org/wpp/Download/Standard/CSV/
Belize,BLZ,2021,404915,https://population.un.org/wpp/Download/Standard/CSV/
Benin,BEN,2021,12451031,https://population.un.org/wpp/Download/Standard/CSV/
